Employee Number,Account Type,Amount
IU320,Arrears Pay,6086.96
IU373,Arrears Pay,6086.96
IU409,Basic Pay,13095.24
IU067,Basic Pay,15238.1
IU044,Basic Pay,18150
IU362,Basic Pay,20000
IU320,Basic Pay,20000
IU373,Basic Pay,20000
IU374,Basic Pay,20000
IU476,Basic Pay,20000
IU454,Basic Pay,20000
IU458,Basic Pay,20000
IU486,Basic Pay,20000
IU461,Basic Pay,20000
IU482,Basic Pay,20000
IU459,Basic Pay,20000
IU452,Basic Pay,20000
IU466,Basic Pay,20000
IU463,Basic Pay,20000
IU462,Basic Pay,20000
IU491,Basic Pay,20000
IU496,Basic Pay,20000
IU497,Basic Pay,20000
IU498,Basic Pay,20000
IU493,Basic Pay,20000
IU499,Basic Pay,20000
IU500,Basic Pay,20000
IU494,Basic Pay,20000
IU501,Basic Pay,20000
IU502,Basic Pay,20000
IU495,Basic Pay,20000
IU295,Basic Pay,20000
IU505,Basic Pay,20000
IU100,Basic Pay,20000
IU453,Basic Pay,20000
IU448,Basic Pay,20000
IU097,Basic Pay,20000
IU120,Basic Pay,20000
IU229,Basic Pay,20000
IU298,Basic Pay,20000
IU405,Basic Pay,20000
IU255,Basic Pay,20000
IU484,Basic Pay,20000
IU487,Basic Pay,20000
IU009,Basic Pay,20000
IU080,Basic Pay,20000
IU105,Basic Pay,20000
IU121,Basic Pay,20000
IU081,Basic Pay,20000
IU088,Basic Pay,20000
IU103,Basic Pay,20000
IU142,Basic Pay,20000
IU181,Basic Pay,20000
IU262,Basic Pay,20000
IU261,Basic Pay,20000
IU287,Basic Pay,20000
IU306,Basic Pay,20000
IU307,Basic Pay,20000
IU401,Basic Pay,20000
IU402,Basic Pay,20000
IU438,Basic Pay,20000
IU510,Basic Pay,20000
IU400,Basic Pay,20000
IU028,Basic Pay,20000
IU022,Basic Pay,20000
IU017,Basic Pay,20000
IU084,Basic Pay,20000
IU005,Basic Pay,20000
IU014,Basic Pay,20000
IU134,Basic Pay,20000
IU156,Basic Pay,20000
IU171,Basic Pay,20000
IU228,Basic Pay,20000
IU239,Basic Pay,20000
IU256,Basic Pay,20000
IU305,Basic Pay,20000
IU380,Basic Pay,20000
IU404,Basic Pay,20000
IU465,Basic Pay,20000
IU492,Basic Pay,20000
IU019,Basic Pay,20000
IU451,Basic Pay,20000
IU460,Basic Pay,20000
IU504,Basic Pay,20000
IU013,Basic Pay,20000
IU109,Basic Pay,20000
IU112,Basic Pay,20000
IU002,Basic Pay,20000
IU041,Basic Pay,20000
IU041,Basic Pay,20000
IU016,Basic Pay,20000
IU035,Basic Pay,20000
IU091,Basic Pay,20000
IU045,Basic Pay,20000
IU048,Basic Pay,20000
IU057,Basic Pay,20000
IU029,Basic Pay,20000
IU055,Basic Pay,20000
IU075,Basic Pay,20000
IU039,Basic Pay,20000
IU119,Basic Pay,20000
IU328,Basic Pay,22000
IU365,Basic Pay,22000
IU397,Basic Pay,22000
IU398,Basic Pay,22000
IU415,Basic Pay,22000
IU413,Basic Pay,22000
IU419,Basic Pay,22000
IU433,Basic Pay,22000
IU432,Basic Pay,22000
IU431,Basic Pay,22000
IU430,Basic Pay,22000
IU429,Basic Pay,22000
IU474,Basic Pay,22000
IU457,Basic Pay,22000
IU503,Basic Pay,22000
IU118,Basic Pay,22000
IU049,Basic Pay,22000
IU383,Basic Pay,25000
IU378,Basic Pay,25000
IU377,Basic Pay,25000
IU399,Basic Pay,25000
IU406,Basic Pay,25000
IU418,Basic Pay,25000
IU417,Basic Pay,25000
IU412,Basic Pay,25000
IU410,Basic Pay,25000
IU428,Basic Pay,25000
IU427,Basic Pay,25000
IU425,Basic Pay,25000
IU424,Basic Pay,25000
IU435,Basic Pay,25000
IU434,Basic Pay,25000
IU437,Basic Pay,25000
IU439,Basic Pay,25000
IU442,Basic Pay,25000
IU444,Basic Pay,25000
IU464,Basic Pay,25000
IU471,Basic Pay,25000
IU384,Basic Pay,30000
IU381,Basic Pay,30000
IU327,Basic Pay,30000
IU426,Basic Pay,30000
IU131,Basic Pay,45000
IU133,Basic Pay,45000
IU135,Basic Pay,45000
IU364,Basic Pay,50000
IU420,Basic Pay,50000
IU489,Basic Pay,50000
IU010,Basic Pay,50000
IU233,Basic Pay,50000
IU278,Basic Pay,50000
IU308,Basic Pay,50000
IU354,Basic Pay,55000
IU355,Basic Pay,55000
IU361,Basic Pay,55000
IU341,Basic Pay,55000
IU379,Basic Pay,55000
IU340,Basic Pay,55000
IU479,Basic Pay,55000
IU480,Basic Pay,55000
IU309,Basic Pay,55000
IU363,Basic Pay,60000
IU335,Basic Pay,60000
IU329,Basic Pay,60000
IU356,Basic Pay,60000
IU445,Basic Pay,60000
IU176,Basic Pay,60000
IU195,Basic Pay,60000
IU257,Basic Pay,60000
IU288,Basic Pay,60000
IU275,Basic Pay,60000
IU284,Basic Pay,60000
IU271,Basic Pay,60000
IU294,Basic Pay,60000
IU025,Basic Pay,62500
IU158,Basic Pay,65000
IU250,Basic Pay,65000
IU321,Basic Pay,66000
IU063,Basic Pay,67500
IU360,Basic Pay,69000
IU248,Basic Pay,69000
IU317,Basic Pay,72000
IU478,Basic Pay,75000
IU469,Basic Pay,75000
IU456,Basic Pay,75000
IU467,Basic Pay,75000
IU488,Basic Pay,75000
IU138,Basic Pay,75000
IU237,Basic Pay,75000
IU093,Basic Pay,76000
IU252,Basic Pay,77760
IU130,Basic Pay,78000
IU246,Basic Pay,78125
IU316,Basic Pay,80000
IU372,Basic Pay,80000
IU392,Basic Pay,81600
IU163,Basic Pay,84500
IU187,Basic Pay,85800
IU071,Basic Pay,90000
IU068,Basic Pay,90000
IU154,Basic Pay,90000
IU483,Basic Pay,90000
IU512,Basic Pay,90000
IU244,Basic Pay,91200
IU254,Basic Pay,91800
IU046,Basic Pay,95000
IU145,Basic Pay,96000
IU189,Basic Pay,96000
IU334,Basic Pay,100000
IU074,Basic Pay,100000
IU290,Basic Pay,100000
IU324,Basic Pay,102000
IU277,Basic Pay,104000
IU147,Basic Pay,105600
IU251,Basic Pay,106250
IU072,Basic Pay,109600
IU069,Basic Pay,109600
IU455,Basic Pay,110000
IU148,Basic Pay,110000
IU159,Basic Pay,110000
IU393,Basic Pay,110000
IU441,Basic Pay,112500
IU388,Basic Pay,114400
IU236,Basic Pay,124800
IU150,Basic Pay,125000
IU351,Basic Pay,130000
IU226,Basic Pay,135000
IU511,Basic Pay,135000
IU245,Basic Pay,140000
IU152,Basic Pay,144000
IU450,Basic Pay,145200
IU149,Basic Pay,149839
IU475,Basic Pay,150000
IU006,Basic Pay,151000
IU468,Basic Pay,155000
IU490,Basic Pay,155000
IU249,Basic Pay,155250
IU098,Basic Pay,158600
IU225,Basic Pay,160000
IU337,Basic Pay,165000
IU446,Basic Pay,182000
IU070,Basic Pay,192000
IU012,Basic Pay,200000
IU106,Basic Pay,200000
IU227,Basic Pay,210000
IU311,Basic Pay,219000
IU389,Basic Pay,230000
IU144,Basic Pay,257945
IU433,Commission Pay,1000
IU429,Commission Pay,1000
IU462,Commission Pay,1000
IU118,Commission Pay,1000
IU307,Commission Pay,1000
